Mortgages.NumMortCharges,Mortgages.NumMortOutstanding,Mortgages.NumMortPartSatisfied,Mortgages.NumMortSatisfied,sic_code_1,bcb_sector,company_age_years,accounts_overdue_days,accounts_ever_late,conf_stmt_overdue_days,num_mortgages_outstanding,num_mortgages_total,has_active_mortgages,has_changed_name,is_active,is_dormant,is_micro,is_small,is_full_accounts,fast_growth_proxy,label_growth_opportunity,label_risk_signal,label_lending_need_proxy,has_mortgage_history,mortgage_completion_rate,mortgage_active_ratio,mortgage_per_year,company_size_score,log_company_age,age_bucket,is_established,total_overdue_days,overdue_intensity,is_severely_overdue,log_overdue,sector_avg_age,sector_mortgage_rate,sector_overdue_rate,sector_dormant_rate,age_vs_sector_avg,sic_division,active_with_mortgages,small_and_growing,overdue_and_active,full_accounts_with_charges
0,0,0,0,46900,Wholesale_Retail,28.999315,0.0,0,0.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,3.4011745480681377,4,1,0.0,0.0,0,0.0,7.248826491578746,0.0776654102669647,0.0824878866388483,0.0999402739328001,21.75048850842125,46,0,0,0,0
0,0,0,0,70229,Technology_Legal_Professional,1.284052,0.0,0,0.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0.8259510586099044,0,0,0.0,0.0,0,0.0,9.03825845811208,0.0481746383262365,0.0589851646881865,0.1179571736165622,-7.754206458112081,70,0,0,0,0
0,0,0,0,16290,Manufacturing,1.1444216,0.0,0,40.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0.7628698656681375,0,0,40.0,0.0957593260175187,0,0.0,12.692375747984038,0.1577167590964426,0.0850086230217773,0.1140014202624103,-11.547954147984038,16,0,0,0,0
0,0,0,0,29201,Manufacturing,5.730322,0.0,0,0.0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,1,1.906622987980132,2,0,0.0,0.0,0,0.0,12.692375747984038,0.1577167590964426,0.0850086230217773,0.1140014202624103,-6.962053747984037,29,0,0,0,0
0,0,0,0,62020,Technology_Legal_Professional,1.3607118,0.0,0,119.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.8589631837318067,0,0,119.0,0.2396006246585603,0,0.0,9.03825845811208,0.0481746383262365,0.0589851646881865,0.1179571736165622,-7.677546658112081,62,0,0,0,0
0,0,0,0,47710,Wholesale_Retail,5.0376453,0.0,0,0.0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,1,1.7980140849416917,2,0,0.0,0.0,0,0.0,7.248826491578746,0.0776654102669647,0.0824878866388483,0.0999402739328001,-2.2111811915787456,47,0,0,0,0
0,0,0,0,47710,Wholesale_Retail,0.5119781,0.0,0,0.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0.4134187935254611,0,0,0.0,0.0,0,0.0,7.248826491578746,0.0776654102669647,0.0824878866388483,0.0999402739328001,-6.736848391578746,47,0,0,0,0
0,0,0,0,69102,Technology_Legal_Professional,12.440794,1250.0,1,1243.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0,2.598294410730956,3,1,2493.0,0.5490113401364389,1,7.131698510466912,9.03825845811208,0.0481746383262365,0.0589851646881865,0.1179571736165622,3.40253554188792,69,0,0,0,0
0,0,0,0,68320,Real_Estate,11.687885,0.0,0,0.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,1,2.5406476011691974,3,1,0.0,0.0,0,0.0,8.853440750825946,0.3873359004094081,0.034972674094529,0.1084434805451085,2.8344442491740534,68,0,0,0,0
0,0,0,0,68209,Real_Estate,3.871321,0.0,0,0.0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,1,1.5833651528789074,1,0,0.0,0.0,0,0.0,8.853440750825946,0.3873359004094081,0.034972674094529,0.1084434805451085,-4.982119750825946,68,0,0,0,0
